apple 1 
lettuce 2 
unsalted-butter 3
salted-butter 4
garlic 5 
ginger 6 
tomato 7 
olive 8 
chicken 9 
chicken-broth 10
milk 11 
fettuccini 12
parsley 13 
turkey 14 
butter 15
cheese 16 
parmesan 17 
potato 18 
onion 19
